frame,pID,unitID,x,y
3720,0,177,668,869
3720,1,185,1387,3604
3720,1,120,2454,2115
3720,0,173,736,736
3720,1,181,1387,3525
3720,1,188,528,2912
3720,1,175,496,2848
3720,1,183,1300,3604
3720,1,169,1233,3541
3840,0,5,646,936
3840,0,184,656,1056
3840,0,9,587,939
3840,0,17,587,875
3840,1,176,1400,3341
3840,0,33,555,852
3840,0,182,587,1012
3840,1,167,1265,3533
3840,0,39,447,2689
3840,1,48,1344,3296
3840,0,34,736,912
3840,0,189,805,901
3840,1,53,1236,3604
3840,0,172,768,779
3840,1,171,1379,3416
3840,1,166,1300,3525
3840,1,75,1344,3472
3840,0,168,587,948
3840,1,179,1376,3339
3840,0,165,668,938
3840,1,187,1341,3534
3840,1,180,576,2992
3840,0,170,2192,1513
3840,1,164,1397,3597
3840,1,192,896,3376
3840,0,97,1728,304
3840,0,174,1713,667
3840,0,178,600,1026
3840,1,102,511,2931
3840,1,190,1344,3472
3840,1,110,1478,3604
3840,0,186,797,779
3840,0,177,768,868
3840,1,185,1387,3604
3840,1,120,2895,2442
3840,0,191,803,903
3840,0,173,736,736
3840,1,181,1387,3636
3840,1,188,528,2912
3840,1,175,496,2848
3840,1,183,1300,3604
3840,1,169,896,3376
3960,0,5,555,947
3960,0,184,656,1056
3960,0,9,622,939
3960,0,17,587,875
3960,1,176,1376,3362
3960,0,33,587,852
3960,0,182,587,1012
3960,1,167,1195,3604
3960,0,39,447,2689
3960,1,48,1344,3296
3960,0,34,736,912
3960,0,189,605,868
3960,1,53,1300,3525
3960,1,193,1344,3472
3960,0,172,739,779
3960,1,171,1377,3390
3960,1,166,1300,3636
3960,1,75,1344,3472
3960,0,168,628,946
3960,1,179,1400,3339
3960,0,165,555,1012
3960,1,187,1387,3636
3960,1,180,576,2992
3960,0,170,2643,1835
3960,1,164,1396,3604
3960,1,192,896,3376
3960,0,97,1728,304
3960,0,174,1713,667
3960,0,178,629,995
3960,1,102,540,2904
3960,1,190,1342,3563
3960,1,110,1418,3527
3960,0,186,792,779
3960,0,177,771,861
3960,1,185,1387,3537
3960,1,120,3456,2506
3960,0,191,803,903
3960,0,173,736,736
3960,1,181,1387,3623
3960,1,188,528,2912
3960,1,175,496,2848
3960,1,183,1300,3604
3960,1,169,836,3304
4080,0,5,555,948
4080,0,184,656,1056
4080,0,9,587,939
4080,0,17,601,874
4080,1,176,1376,3403
4080,0,33,555,852
4080,0,182,672,952
4080,1,167,1195,3604
4080,0,39,447,2689
4080,1,48,1344,3296
4080,0,34,736,912
4080,0,189,655,845
4080,1,53,1236,3604
4080,1,193,1344,3472
4080,0,172,736,779
4080,1,171,1400,3350
4080,1,166,1300,3623
4080,1,75,1344,3472
4080,0,168,609,949
4080,1,179,1400,3339
4080,0,165,577,1008
4080,1,187,1387,3623
4080,1,180,576,2992
4080,0,170,2738,2095
4080,1,164,1396,3582
4080,1,192,896,3376
4080,0,97,1728,304
4080,0,174,1713,667
4080,0,178,587,1044
4080,1,102,597,2947
4080,1,190,1387,3636
4080,1,110,1478,3604
4080,0,186,792,816
4080,0,177,768,819
4080,1,185,1291,3636
4080,1,120,3330,2485
4080,0,191,803,903
4080,0,173,736,736
4080,1,181,1454,3604
4080,1,188,528,2912
4080,1,175,496,2848
4080,1,183,1297,3534
4080,1,169,853,3379
4200,0,5,583,943
4200,0,184,656,1056
4200,0,9,587,939
4200,0,17,601,875
4200,1,176,1376,3419
4200,0,33,555,852
4200,0,182,585,1010
4200,1,167,1195,3604
4200,0,39,447,2689
4200,1,48,1344,3296
4200,0,34,736,912
4200,0,189,587,843
4200,1,53,1236,3604
4200,1,193,1344,3472
4200,0,194,805,902
4200,0,172,768,779
4200,1,171,1400,3339
4200,1,166,1300,3574
4200,1,75,1344,3472
4200,0,168,587,948
4200,1,179,1318,3569
4200,0,165,560,1011
4200,1,187,1387,3628
4200,1,180,572,2968
4200,0,170,2990,2396
4200,1,164,1460,3604
4200,1,192,896,3376
4200,0,97,1728,304
4200,0,174,1713,667
4200,0,178,587,1044
4200,1,102,805,3260
4200,1,190,1387,3636
4200,1,110,1391,3606
4200,0,186,792,790
4200,0,177,792,852
4200,1,185,1300,3537
4200,1,120,2948,2155
4200,0,191,982,782
4200,0,173,736,736
4200,1,181,1396,3604
4200,1,188,528,2912
4200,1,175,496,2848
4200,1,183,1291,3604
4200,1,169,867,3317
4320,0,5,617,939
4320,0,184,656,1056
4320,0,9,597,939
4320,0,17,587,875
4320,1,176,1396,3604
4320,0,33,559,852
4320,0,182,587,1012
4320,1,167,1255,3540
4320,0,39,447,2689
4320,1,48,1344,3296
4320,0,34,736,912
4320,0,189,587,843
4320,1,53,1291,3636
4320,1,193,1387,3636
4320,0,194,805,902
4320,0,172,768,779
4320,1,171,1376,3339
4320,1,166,1291,3604
4320,1,75,1344,3472
4320,0,168,587,948
4320,1,179,1195,3604
4320,0,165,555,1012
4320,1,187,1387,3636
4320,1,180,576,2992
4320,0,170,2563,2003
4320,1,164,1460,3604
4320,1,192,896,3376
4320,0,97,1728,304
4320,0,174,1713,667
4320,0,178,675,952
4320,1,102,1259,3540
4320,1,190,1387,3555
4320,1,110,1387,3634
4320,0,186,768,779
4320,0,177,792,868
4320,1,185,1396,3604
4320,1,120,2483,1889
4320,0,191,1391,374
4320,0,173,736,736
4320,1,181,1396,3580
4320,1,188,528,2912
4320,1,175,496,2848
4320,1,183,1228,3604
4320,1,169,959,3356
4320,1,195,1344,3472
4440,0,5,555,948
4440,0,184,656,1056
4440,0,9,618,939
4440,0,17,587,875
4440,1,176,1396,3604
4440,0,33,596,852
4440,0,182,587,1012
4440,1,167,1195,3540
4440,0,39,447,2689
4440,1,48,1344,3296
4440,0,34,736,912
4440,0,189,672,869
4440,1,53,1293,3615
4440,1,193,1387,3586
4440,0,194,805,902
4440,0,172,769,779
4440,1,171,1376,3341
4440,1,166,1291,3604
4440,1,75,1344,3472
4440,0,168,587,948
4440,1,179,1248,3551
4440,0,165,657,958
4440,1,187,1387,3525
4440,1,180,576,2992
4440,0,170,2325,1509
4440,1,164,1396,3528
4440,1,192,896,3376
4440,0,97,1728,304
4440,0,174,1713,667
4440,0,178,587,1044
4440,1,102,1291,3636
4440,1,190,1387,3636
4440,1,110,1387,3604
4440,0,186,768,779
4440,0,177,794,868
4440,1,185,1395,3525
4440,1,120,2555,1403
4440,0,191,1661,172
4440,0,173,736,736
4440,1,181,1291,3636
4440,1,188,528,2912
4440,1,175,496,2848
4440,1,183,1291,3536
4440,1,169,876,3322
4440,1,195,1344,3472
4560,0,5,555,948
4560,0,184,656,1056
4560,0,9,587,939
4560,0,17,675,874
4560,1,176,1362,3602
4560,0,33,555,852
4560,0,182,675,948
4560,1,167,1195,3540
4560,0,39,447,2689
4560,1,48,1344,3296
4560,0,34,736,912
4560,0,189,587,843
4560,1,53,1250,3579
4560,1,193,1387,3604
4560,0,194,986,775
4560,0,172,792,780
4560,1,171,1376,3398
4560,1,166,1227,3604
4560,1,75,1344,3472
4560,0,168,675,946
4560,1,179,1195,3589
4560,0,165,555,1012
4560,1,187,1387,3636
4560,1,180,576,2992
4560,0,170,2499,1082
4560,1,164,1460,3604
4560,1,192,896,3376
4560,0,97,1728,304
4560,0,174,1713,667
4560,0,178,587,1044
4560,1,102,1300,3636
4560,1,198,1344,3472
4560,1,190,1387,3525
4560,1,110,1386,3569
4560,0,186,768,779
4560,0,177,771,867
4560,1,185,1396,3604
4560,1,120,2461,1110
4560,0,191,1699,186
4560,0,173,736,736
4560,1,181,1241,3583
4560,1,188,528,2912
4560,0,197,801,938
4560,1,175,496,2848
4560,1,183,1195,3602
4560,1,169,831,3302
4560,0,196,1708,345
4560,1,195,1342,3558
4680,0,5,656,939
4680,0,184,656,1056
4680,0,9,587,939
4680,0,17,587,875
4680,1,176,1438,3603
4680,0,33,555,852
4680,0,182,587,1012
4680,1,167,1230,3524
4680,0,39,447,2689
