ProtossPylon,ProtossSecondPylon,ProtossFirstGas,ProtossSecondGas,ProtossFirstExpansion,ProtossSecondExpansion,ProtossThirdExpansion,ProtossFourthExpansion,ProtossGateway,ProtossSecondGatway,ProtossThirdGatway,ProtossFourthGatway,ProtossCore,ProtossZealot,ProtossGoon,ProtossRange,ProtossForge,ProtossCannon,ProtossGroundWeapons1,ProtossGroundArmor1,ProtossShields1,ProtossGroundWeapons2,ProtossGroundArmor2,ProtossShields2,ProtossCitadel,ProtossLegs,ProtossArchives,ProtossTemplar,ProtossArchon,ProtossStorm,ProtossDarkTemplar,ProtossDarkArchon,ProtossMaelstorm,ProtossRoboBay,ProtossShuttle,ProtossShuttleSpeed,ProtossRoboSupport,ProtossReavor,ProtossReavorDamage,ProtossReavorCapacity,ProtossObservory,ProtossObs,ProtossStargate,ProtossCorsair,ProtossDisruptionWeb,ProtossFleetBeason,ProtossCarrier,ProtossCarrierCapacity,ProtossTribunal,ProtossArbitor,ProtossStatis,ProtossRecall,ProtossAirWeapons1,ProtossAirArmor1,ProtossAirWeapons2,ProtossAirArmor2,midBuild
1140,3512,2442,14996,12840,13558,18706,24542,1912,7048,11816,15386,3022,16940,4076,4492,15740,19576,19626,26820,32898,25756,30914,38592,16910,19952,29556,31676,55662,31732,0,0,0,5632,8476,0,9370,10808,0,0,6924,7612,32660,0,0,35276,37526,41698,0,0,0,0,0,0,0,0,FastObs
1210,3560,2455,0,0,0,0,0,1945,8940,10625,0,3075,7260,4110,7615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4820,6275,0,6820,7435,0,0,7685,10380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
1150,3430,2425,13350,8805,11255,24320,0,2040,5685,15945,0,3085,8095,4085,15965,9825,10570,0,0,0,0,0,0,4405,0,5435,0,0,0,6580,0,0,9580,13430,0,0,0,0,0,14645,17010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1265,3165,7005,26500,21365,27030,36360,36735,2025,2480,18310,22660,9235,3020,10310,17370,4765,5575,35005,35990,60460,40745,40760,0,16590,17890,27275,47655,0,47635,43545,0,0,17345,19145,40825,38915,0,0,0,19630,22835,11795,0,0,13100,14200,15390,0,0,0,0,11315,0,0,0,Carrier
1265,3165,7005,26500,21365,27030,36360,36735,2025,2480,18310,22660,9235,3020,10310,17370,4765,5575,35005,35990,60460,40745,40760,0,16590,17890,27275,47655,0,47635,43545,0,0,17345,19145,40825,38915,0,0,0,19630,22835,11795,0,0,13100,14200,15390,0,0,0,0,11315,0,0,0,Carrier
1220,3310,2475,14535,7970,18985,0,0,1935,5310,19865,20815,2955,20155,3970,4175,10760,12235,14210,19135,0,0,0,0,19785,21325,0,0,0,0,0,0,0,6080,0,0,0,0,0,0,7660,8265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1268,3448,1632,0,10042,0,0,0,2254,8638,0,0,3270,6050,4370,7430,0,0,0,0,0,0,0,0,9050,0,0,0,0,0,0,0,0,4262,5552,0,7588,9182,0,0,5638,6402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1234,3524,2492,17298,7570,12172,0,0,2168,5578,11092,14424,3250,5956,4248,0,13836,15468,19794,0,0,0,0,0,14140,15196,0,0,0,0,0,0,0,5202,0,0,0,0,0,0,6624,7344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1220,3310,2475,14535,7970,18985,0,0,1935,5310,19865,20815,2955,20155,3970,4175,10760,12235,14210,19135,0,0,0,0,19785,21325,0,0,0,0,0,0,0,6080,0,0,0,0,0,0,7660,8265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1265,3730,2740,13810,10835,12440,16790,21775,2120,6205,13940,17395,3325,7545,4335,6625,9840,11085,11110,19025,0,15730,0,0,11905,14690,13270,0,0,0,15800,0,0,5415,7510,0,0,0,0,0,6865,7485,22725,0,0,25625,29705,37250,0,0,0,0,0,0,0,0,FastObs
1265,3570,2600,14335,10030,0,0,0,2040,6935,11250,13310,3150,14740,4525,4195,13030,0,14155,0,0,0,0,0,13145,14135,0,0,0,0,0,0,0,5930,10170,0,0,0,0,0,7325,7870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1240,3414,2366,0,9994,0,0,0,1918,6842,11468,0,2956,5922,3974,10780,0,0,0,0,0,0,0,0,5116,0,6224,0,0,0,7210,0,0,4528,5824,0,0,0,0,0,11004,13006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1165,3590,2230,9155,7370,10925,17080,22925,1855,7625,10310,10430,3040,8515,4065,9250,12365,18810,13630,13640,13655,17705,17725,17740,6100,10335,8235,9710,0,9905,9270,0,0,4730,7905,0,0,0,0,0,6435,7100,20110,0,0,21845,23700,23780,0,0,0,0,25005,0,0,0,FastObs
1165,3390,2280,14515,6040,15305,16795,21445,1820,6775,9735,9870,2925,10965,3935,4400,9430,12455,12425,17025,21670,21650,21660,24560,15425,17055,20360,0,0,24990,0,0,0,7530,11005,0,0,0,0,0,9385,10230,20895,0,0,0,0,0,23025,24705,27050,24730,0,0,0,0,FastExpand
1265,3740,2760,14240,8495,10965,20225,21650,2110,5770,12520,14520,3235,3585,4260,12800,12900,13720,15940,0,21710,0,0,25910,5290,14055,7340,19055,0,16435,8535,0,0,9505,16190,0,0,0,0,0,11090,11835,18360,0,0,20150,21680,22990,0,0,0,0,22965,23040,33875,0,FastDT
1155,3165,2870,0,0,0,0,0,1945,0,0,0,4395,2970,0,0,0,0,0,0,0,0,0,0,5875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
1240,3785,2430,8415,7000,10975,12080,15575,2035,7700,12965,14875,3255,14085,4265,0,8280,9295,14245,23850,22525,18970,28540,27760,4530,14205,5955,7255,8820,0,9940,0,0,26825,0,0,0,0,0,0,28595,29175,19795,26860,0,21355,22565,22605,0,0,0,0,20705,30285,25355,0,FastDT
1270,3825,2665,10595,8025,15300,21720,26430,2090,7870,10565,10685,3315,16375,4335,7015,12035,12945,13920,39660,18465,29825,44305,26475,5785,17115,10105,17200,18415,14990,11185,0,0,5410,8740,11850,8770,9775,0,0,6705,7285,28000,0,0,0,0,0,29805,32095,36755,32125,0,30745,0,0,FastObs
1265,3680,2635,16785,9835,13480,22805,0,2070,9340,11045,11300,3170,16805,4165,6360,15810,16665,16595,0,21680,25145,0,25785,14390,15570,21370,0,0,0,0,0,0,5890,8590,0,8570,9375,0,0,7205,7765,23975,0,0,27340,0,0,0,0,0,0,0,0,0,0,FastObs
1175,3795,2555,0,9380,13490,0,0,1910,10395,11090,11650,3510,2945,4545,7105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4845,7515,0,7820,8555,0,0,6340,6920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1240,3640,2615,19620,8625,10350,13670,15640,2070,7360,16155,17075,3290,21600,4280,21270,11955,13060,14425,30115,30130,18805,0,0,6450,24015,7625,10945,0,11845,8735,0,0,5185,9540,0,0,0,0,0,6510,7150,27200,0,0,0,0,0,30210,0,0,0,0,0,0,0,FastObs
